Game,Platform,link,description,UI,speed_or_accuracy,num_selectable,max_num_selectable,unique_target,shape,size,distance,static_or_moving,arrangement,reference_frame,direction,occlusion,selection_mechanic,selection_technique,hover_indication,selection_feedback,locomotion_useful,X,Y,color
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/00pBMc87Ilg?t=39,1.A Direct grabbing of weapons within reach. Nearest weapon is highlighed if reachable.,no,equal,1-2,3-9,yes,weapons,medium,on-body; peripersonal,static,random,env,both,minimal,yes,grasp,yes,yes,yes,1.0,1.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/00pBMc87Ilg?t=60,1.B and enemy joints,no,speed,3-9,10-19,no,body joint,medium,peripersonal,moving,random,env,center,minimal,yes,grasp,no,yes,yes,1.0,2.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/HL6kH0WpuFA?t=19,2. Select entry in a book using raycast out of finger,yes,accuracy,10-19,20+,yes,text,tiny,peripersonal,static,list,env,center,none,no,point,yes,yes,yes,1.0,3.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/0M6PBhrt1pA?t=9,3. Select icon from a circular menu around the hand,yes,equal,10-19,20+,yes,icons,medium,peripersonal,static,circular,hand,center,none,yes,touch,yes,no,no,1.0,4.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/0M6PBhrt1pA?t=150,4. Target an enemy with a lightning (pointing with auto aim - selection correction),no,speed,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,point,no,yes,yes,1.0,5.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/vj2RK3QM6a0?t=2,5. Aim and shoot arrow with a bow,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,1.0,6.0,red
Blade & Sorcery: Nomad,Steam; Oculus,https://youtu.be/ZJUznuZDEXs?t=57,6. Throw a javelin at enemies,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,throw,no,yes,yes,2.0,1.0,green
Beats Saber,PSVR; Steam; Oculus,https://youtu.be/6yqFoHG0Og8?t=220,"1. Selecting songs, friends, and such from menu UI before the game starts",yes,accuracy,10-19,10-19,yes,text; icons,small,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,2.0,2.0,green
Beats Saber,PSVR; Steam; Oculus,https://youtu.be/6yqFoHG0Og8?t=308,2. Slicing cubes in game,no,equal,3-9,3-9,yes,cubes,large,peripersonal,moving,random,env,center,minimal,yes,cross,no,yes,no,2.0,3.0,green
Creed: Rise to Glory - Championship Edition,Oculus; PSVR,https://youtu.be/K4XzyI1Yap4?t=238,"1. Selecting champions, game modes and so on from a UI",yes,accuracy,3-9,10-19,yes,icons,small,peripersonal,static,list,env,center,none,no,point,yes,yes,yes,2.0,4.0,green
Creed: Rise to Glory - Championship Edition,Oculus; PSVR,https://youtu.be/K4XzyI1Yap4?t=216,2. Selecting a target to land the punch,no,accuracy,1-2,1-2,no,avatar,medium,peripersonal,moving,random,env,both,none,no,push,yes,yes,yes,2.0,5.0,green
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=44,1. Selecting Weapons/Items From a quick on hand Inventory (circular mini-map like menu) and selection is done through controller analog and highlight of selectable item,yes,equal,3-9,3-9,yes,icons,large,on-body; peripersonal,static,circular,hand,center,none,no,point,yes,yes,no,2.0,6.0,green
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=168,2. UI to pick a location/shop/build item (pannel was  a 2D screen like) and you select with a ray,yes,accuracy,20+,20+,yes,text; icons,small,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,3.0,1.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=64,3. Direct Grab of items to add them to inventory from the floor,no,accuracy,1-2,3-9,yes,weapons,medium,peripersonal,static,random,env,center,minimal,no,grasp,yes,yes,yes,3.0,2.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=30,4. Aim and shoot zombies:animals,no,equal,3-9,10-19,no,avatar,large,extrapersonal,moving,random,env,center,minimal,no,shoot,no,yes,yes,3.0,3.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=46,5. throw an object into an area ,no,accuracy,1-2,1-2,no,avatar,large,extrapersonal,static,random,env,center,minimal,yes,throw,no,no,yes,3.0,4.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=76,6. Select a point to hold to move:climb,no,accuracy,3-9,3-9,yes,plank,medium,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,3.0,5.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=182,7. button push to start a process or execute something,no,accuracy,1-2,3-9,yes,button,small,peripersonal,static,grid,env,center,none,yes,push,no,yes,yes,3.0,6.0,blue
Survival Nation,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=325,8. Attacking an enemy with a bat using a crossing gesture,no,equal,3-9,10-19,no,avatar,large,peripersonal,moving,random,env,center,minimal,yes,cross,no,yes,yes,4.0,1.0,yellow
